question,answer
国际危机组织资金来源是什么？,国际危机组织资金来自各国政府，慈善基金会，公司和个人捐助者。 
国际危机组织总部设在哪里？,布鲁塞尔
组织目前拥有17外地办事处分布在哪儿？,"阿布贾, 阿曼, 比什凯克, 波哥大, 开罗, 可伦坡, 达卡, 杜尚别, 伊斯坦堡, 雅加达, 喀布尔, 加德满都, 内罗毕, 太子港, 普里什蒂纳, 首尔 及 第比利斯"
台西镇的地理位置？,胶州湾东岸现市南区台西半岛中部，铁路青岛站以西。
德租时期的台西镇的范围大致包括哪些？,台西一路、磁山路、台西四路和贵州路合围成的四边形区域。
“台东”“台西”之名的来源是什么？,贮水山因明代建有烽火台而曾被称为“烽台岭（亦称风台岭）”，而台东、台西因地处烽台岭之东西两侧而得名。
1901年，开始建设台西镇？,德属胶澳总督府
1935年，政府对台西镇做了什么改变？,1935年5月，青岛市政府重划市乡区域并改定名称，撤销第一区，成立台西区。
人体探险队播出的频道是什么？,SBS
人体探险队节目的目的是什么？,节目的目的是要回答大家在人的身体方面好奇的问题，并通过Super Junior用自己的身体做实验来证实。
目前唯一的Super Junior每一个成员都参加出演了的综艺节目是什么？,人体探险队
为什么人体探险队原本是暂时性中段，最后却宣布结束？,原本预计是暂时性的中断，但是Super Junior有诸多通告（包括准备亚洲巡回演唱会），无法排开档期，只得宣布就此结束。
南非连接航空与南非航空和南非快运航空的联系是什么？,现已不再是星空联盟的一部分，但与南非航空和南非快运航空之间仍保持各种合作协定等文件。
南非连接航空成立于哪一年？,1995年
南非连接航空1995年和纳入了哪些航空公司？,中部航空（成立于1967年）、Lowveld航空服务、马格南航空、边界航空，城市航空和链接航空。
南非连接航空的市场分布？,它有一个49％的市场是在津巴布韦空中连结和40％的市场是在斯威士兰空中连结。
2008年9月24日，南非连接航空机队的平均机龄是多少？,14.3年
温嫩登校园枪击案发生的地点？,德国温嫩登的一所高中
据BBC报道的枪击案受害者信息有哪些？,凶手进入多个房间，枪击受害者的头部。受害者包括9名学生和3名老师。受害学生的年龄为14至15岁，其中8名为女性。
枪手在汽车陈列室杀害了那些人？,杀害一名销售人员和一名顾客
稳重提到了哪些关于枪手的个人信息？,凶手为17岁男性，一年前从案发学校毕业。名为蒂姆·克雷奇默（Tim Kretschmer），来自邻近的洛伊滕巴赫。
凶手父亲将会面临什么？,凶手父亲可能会因未按法律要求恰当地保存枪支而被起诉。
日本工大的本部设立在哪里？,日本埼玉县宫代町
日本工业大学的前身是什么？,东京工科学校
日本工业大学在接受中国留学生方面的规定是什么？,在接受中国留学生方面，该校定期接受华中科技大学的国费留学生，深造本科，硕士，博士课程。并且和浙江大学和中国海洋大学也有留学生交流。
日本工业大学的特点有哪些？,该校特点是纯理工系大学，并且有从初中，高中，短期大学，专门学校，大学，大学研究生院，社会人研究生院这一系列完备的附属学校体系。
为什么日本工业大学的大学院性价比显得尤为突出？,日本工业大学（博士前期课程（修士） 博士后期课程）日本工业大学大学院的留学生一年的学费总共65万日元左右，在理工科大学中属于中下水平，因此日本工业大学的大学院性价比显得尤为突出。
超异能冒险翻拍自哪部电影？,1975年的《巫山大逃亡》
超异能冒险的主演是谁？,巨石强森、安娜苏菲亚·罗伯与亚历山大·路德维格（Alexander Ludwig）
新版把什么作为影片的主要核心？,把外星生物概念加进影片作为主要核心。
影评家普遍给予《超异能冒险》什么样的评价？,影评家给予《超异能冒险》普遍中等的评价。
什么是经文歌？,经文歌（）是中世纪到文艺复兴时期的一种宗教音乐体裁，由克劳苏拉（clausula）发展而成。
13世纪初的经文歌有什么特点？,13世纪初的经文歌是三声部，皆为拉丁语歌词
13世纪后半叶经文歌的两种型式分别是什么？,一为Franconian，一为Petronian。
Franconian和Petronian的相同点有哪些？,两者皆在节奏上作出对比，由上而下的声部依序为快，中，慢
经文歌的曲调来原有哪些？,曲调来原则不再只有素歌，甚至可从世俗歌曲之中取材。
詹姆斯岛的地理位置？,冈比亚冈比亚河中，距离河流入海口约30公里
最先到达詹姆斯岛的欧洲人是谁？,最先到达詹姆斯岛的欧洲人是来自库尔兰和瑟米利亚公国的波罗的海日耳曼人
雅各布堡的由来是什么？,1651年，殖民者在岛上修建城堡，并以雅各布·克特勒公爵的名字命名为雅各布堡。
詹姆斯岛及其附属设施在那一年入选联合国教科文组织世界遗产名录？,2003年
月光嘉年华中的背景取于哪些地方？,游戏中的背景绝大部分实地取自意大利的佛罗伦斯、锡耶纳和威尼斯
《月光嘉年华》的小说由什么文库发售？,小学馆Gagaga文库发售
原作外传的作品主要描述了什么？,自动机械人偶兄妹和的故事，部分原作的人物也会以配角的形式登场。
漫画先在Champion RED 草苺连载，后做了什么改变？,后移至月刊Champion RED2007年4月号至2008年2月号，单行本全两卷，中文版由东立出版社代理发行。
死或生 沙滩排球2侧重于描绘什么？,海滩上的比基尼美女
为什么将标题的“Beach Volleyball”去掉？,由于增加了可游玩小游戏的数量而不再只有沙滩排球
《死或生 沙滩排球2》从哪里体现游戏十分强调友谊？,这个游戏十分强调友谊，玩家必须与其他女孩成为朋友，可以在岛上的商店给她们买她们喜欢的礼物，这样做将增加两角色之间的关系。如果两人之间的友谊在一个足够高的水平，对方可以被说服成为玩家的排球搭档。
《死或生 沙滩排球2》包括哪些小游戏？,水上摩托艇、踩浮板、沙滩抢旗、顶屁股、水上拔河、滑水、赌场等。
为什么垣伴信表示他不会加入类似于蹦床比赛和湿T恤比赛的小游戏？,他认为这是低级趣味并且“显示出妇女的负面形象”。
文明钢笔的全名是什么？,文明钢笔股份有限公司
文明钢笔成立的时间是哪一年？,1950年
品牌S.K.B.是什么的缩写？,是Smooth（流畅）、Knowing（知性）、Beauty（美感）的缩写。
1951年绿屋文具商店改名为什么？,改名为文明书局。
1955年公司做了什么改变？,1955年，开始进口国外的钢笔、零组件，早期模仿百乐（PILOT）、美国伟佛（Wearever）等品牌钢笔，从原本的文具进口贸易，成立「S.K.B.」品牌，正式立名为「文明钢笔股份有限公司」。
设立国家科学技术奖励的目的？,中国政府为了奖励在科技进步活动中作出突出贡献的公民，推动中国科技事业的发展，国务院设立五个国家科学技术奖。
国家科学技术奖励中包括哪些奖项？,包括国家最高科学技术奖、国家自然科学奖、国家技术发明奖、国家科学技术进步奖和中华人民共和国国际科学技术合作奖。
获奖者奖金及其用途是什么？,每位获奖者的奖金总额均为人民币500万元，其中50万元直接授予个人，另外450万元作为科学研究经费由获奖人全权管理具体用途。
国家技术发明奖授予哪些人？,国家技术发明奖授予在产品、工艺、材料及其系统等有重大技术发明的中国公民。
中华人民共和国国际科学技术合作奖的前身是什么？,其前身为国家科学技术委员会设立的中国国际科技合作奖
《麻姑仙坛记》的全称与俗称分别是什么？,《麻姑仙坛记》（全称《有唐抚州南城县麻姑山仙坛记》），俗谓《麻姑帖》
《麻姑仙坛记》的作者是谁？,颜真卿
清代考据学者遍寻众书普遍认为什么是正书第一？,九成宫醴泉铭
颜真卿是如何写成《麻姑仙坛记》的？,真卿在抚州刺史任上，因仕途受挫，故而心向道教与佛教，游览南城县麻姑山，撰文记述麻姑得道成仙之事，刻文在江西建昌府南城县西南二十二里山顶。
《麻姑仙坛记》元刻以后又有哪些刻本？,唐晏云本，忠义堂何氏本、黄氏本
亨利·普赛尔所处的时期是什么？,巴洛克时期
亨利·普赛尔的地位如何？,他被认为是英国最伟大的作曲家之一，独霸乐坛两百年，一直到20世纪初爱德华·埃尔加成名之前，没有一个本土生长的英国作曲家达到他的成就。
亨利·普赛尔在1695年有哪些经历？,"1695年初，替病逝的玛丽女王创作葬礼歌曲——《""""》；7月时，他为王位的推定继承人格洛斯特公爵威廉王子谱写六岁的生日歌曲；他在11月猝逝"
那本书对亨利·普赛尔的死有提及？,《音乐家的罗曼史》
《摩尔人的复仇》中的一个主题被布里顿用进什么中？,《青少年管弦乐队指南》
德国的舍芬型陪审官是指什么？,在德国，舍芬型陪审官主要被指定在下级刑事法院与专职司法官共同就法律和事实作出判决的非专职法官或陪审官。
包括律师和法官在内的专职司法人员对舍芬型陪审官的砍伐是什么？,许多专职司法人员，包括律师和法官在内，倾向于认为这种陪审官的影响将日益缩小，最终被取消
非专职司法人员有什么权利？,在某些案件中并被授予与法官又作出同等判决的权利。
专职陪审官什么时候被专职法官取代？,17世纪
当任舍芬型陪审官要求？,舍芬型陪审官从地方议会中选举产生，但政府官员、医生、教士以及65岁以上、30岁以下的人，不得担任舍芬型陪审官。
《恶女花魁》于哪一年开始连载的？,2001年
《恶女花魁》电影由哪些演员拍摄的？,演员一字排开土屋安娜、椎名桔平、成宫宽贵、木村佳乃、菅野美穗、小泉今日子、安藤政信、永濑正敏各个都是顶顶有名的大人物
清叶在几岁被卖到游廓？,八岁
在清叶出嫁的前一晚发生了什么？,就在出嫁前一晚，她找到了她生命中的真命天子
原声带是由谁发行的？,椎名林檎暌违
艾志波目前效力于哪里？,中甲球队武汉卓尔。
艾志波出道于哪里？,武汉足球俱乐部
2010年艾志波发生了什么？,艾志波以租借方式加盟江苏舜天。
艾志波的家乡在哪里？,武汉
为什么艾志波没有参加东亚运动会？,2005年艾志波曾经入选了朱广沪时期的国家队大名单，但是在东亚运动会前因为受伤而没有出场比赛。
什么是上海光源？,是一台高性能的中能第三代同步辐射光源。
上海光源工程包括哪三大加速器？,分别是一台150MeV的电子直线加速器、一台能在0.5秒内把电子束能量从150MeV提升到3.5GeV的全能量增强器和一台周长432米的3.5GeV高性能电子储存环
中国科学院上海应用物理研究所位于哪里？,上海浦东张江高科技园区
上海光源光源能量仅次于哪些工程？,仅次于日本SPring-8、美国APS、欧洲PETRA III、ESRF四台高能同步辐射光源。
白兰氏著名于什么？,鸡精饮料
白兰氏品牌有那个公司所有？,食益补太平洋有限公司
白兰氏鸡精的发明者是谁？,由英国白金汉宫御厨韩温白兰（H.W.Brand）发明
白兰氏除传统鸡精外还开发了哪些鸡精？,开发添加冬虫夏草、花旗参等传统保健药材的鸡精
白兰氏另开发的多种保健食品中，饮品类包括哪些？,红胶原青春饮、燕窝、蚬精及养参饮等
阿尔维德·卡尔森最著名的成就是什么？,对神经递质多巴胺的研究以及该物质在帕金森氏症中的作用
阿尔维德·卡尔森获得过什么奖项？,2000年度诺贝尔生理学或医学奖
1957年，卡尔森提出什么论点？,卡尔森提出多巴胺不仅仅是过去人们认为的去甲肾上腺素的前体，也是一种位于脑部的神经递质。
什么是治疗帕金森氏症的最普遍采用的方法的基础？,左旋多巴
卡尔森对饮用水氟化的看法是什么？,卡尔森是一名饮用水氟化的反对者。
田钦祚生活在什么朝代？,宋朝
田钦祚早年担任什么官职？,钦祚早年任后周的殿直，不久改供奉官，从柴荣征淮南，为前军都监。
平南唐后，田钦祚被追加什么职位？,平南唐后，以功加领汾州防御史。
田钦祚出征时赵匡胤如何指示他？,赵匡胤指示他：“敌至即战，勿与追逐”。
田钦祚的性格如何？,钦祚“性阴狡，多所忤犯，好狎侮同列，人皆恶之。”
威赛克斯白肩猪起源于哪里？,英国的西郡(威赛克斯)，特别是威尔特郡以及汉普郡的新福里斯特地区。
威赛克斯白肩猪的外形特征有哪些？,威赛克斯白肩猪为黑色，身体的前部有一条白带。白带从一只前脚穿过肩部并延伸到另一只脚，形状类似马鞍。
威赛克斯白肩猪品种协会成立的时间和地点是什么？,1918年成立于英国
为什么威赛克斯白肩猪和Essex会进行融合？,20世纪中叶以来，养猪业开始向集约化发展并影响到威赛克斯白肩猪的发展。同时，另一个相同颜色但稍有区别的品种Essex也面临着同样的问题。1967年，这两个品种为了防止灭绝而进行融合。
汉普夏猪初步形成于哪一时期？,19世纪初
郭进生活在那个朝代？,北宋
郭进早年贫贱时品质如何？,倜傥任气，嗜酒好赌。
郭进为什么自缢身亡？,郭进屡次被田钦祚欺凌
郭进死后，被追赠什么称号？,安国军区节度使
模范议会是什么？,在英国历史上是指爱德华一世时期，1295年召开的英格兰议会。
「西蒙议会」的召开时间是什么？,1265年1月
「西蒙议会」的历史地位是什么？,它创立了英国议会的雏形，是英国议会的开端。
1295年，英王爱德华一世召集议会的原因是什么？,英王爱德华一世为筹集战争经费，与苏格兰、法国、威尔斯开战
模范议会现代意义的议会有什么不同？,议会的主导权还是掌握在贵族手上
穆哈拉格省的位置在哪里？,穆哈拉格岛上
巴林国际机场位于什么省份？,穆哈拉格省
镇上小巷也有哪些历史名胜？,包括伊萨·本·阿里·阿勒哈利法故居，斯亚迪故居，风塔，记者阿卜杜拉·扎耶德故居以及的阿拉德堡等。
为什么政府被指责没有投入足够的钱来修复古迹并将其变成旅游景点？,Salafist Asalah党的负责人Ghanim Al Buaneen回应消息说，政府将投资500万巴林元来保护这些地点，因为他们认为这个数字太少，并且说岛上需要5000万至1亿巴林元来整修整个旧的区域。
国会议员要求将其重新安置巴林国际机场的原因是什么？,因为飞机起降的声音扰乱了当地居民。
吊坠缚是什么？, 是一个术语用来形容BDSM游戏中的一特定姿势或是技巧。受虐者的双手被捆绑且置于背后，再用绳子或是铁链将双手吊起，通常双手将被高举到迫使受虐者必须向前倾斜。
吊坠缚吊刑是什么？,通常用来形容一种拷问折磨的方式，至今仍有许多国家用来折磨罪犯
吊坠缚吊刑发源于哪里？,发源于中世纪的欧洲。
不同的的吊坠缚哪些相同的原则？,双臂高举过头，笔直的向上举
手臂伸展过高的后果是什么？,将手臂伸展过高对任何弹性很好的人都可能造成会造成手臂脱臼。
麻平衡的和名是什么？,仪间亲方真常
麻平衡是谁的后代？,麻普蔚（大城按司真武）
麻平衡还自日本引进哪些技术？,他还自日本引进木棉之种，传播了黑砂糖的制法。
麻平衡和谁一起被祭祀于世持神社？,野国总管、蔡温
「琉球五伟人」包括哪些人？,他与程顺则（名护亲方宠文）、向象贤（羽地按司朝秀）、蔡温（具志头亲方文若）和向有恒（宜野湾亲方朝保），被冲绳民俗学家伊波普猷并称为「琉球五伟人」。
阿部定吉生活在什么时代？,战国时代
阿部定吉于什么时间之后成为松平广忠的家臣？,1535年，松平家的七代当主松平清康，遭到阿部定吉之子阿部正丰暗杀
为什么广忠逃到伊势国依附于吉良持广？,信定认为松平广忠的存在是个危险要素，于是准备加害于他。于是广忠逃到伊势国依附于吉良持广。
阿部定吉表面上和广忠合作，其真实目的是什么？,觊觎着康孝的遗留领地。
阿部定吉没有立继承人，使血统断绝后，那一脉势力开始强盛？,同族阿部正胜一脉势力开始强盛
复线铁路指的是什么？,是指在同一时间，两个相对的通行方向的列车互不干扰的铁路。
单线铁路为什么被称为“会让站”？,单线铁路通常每隔一段距离就设置一个会车时使用的车站，称为“会让站”，用于相对行驶的列车停车避让。
复线铁路没有解决什么问题？,同方向不同速度的列车的超车问题
什么是平行复线？,平行复线是指两条铁路线路相距很近（中国铁路规定普速复线相距不小于4米，高速复线相距不小于4.4米），走向大致平行，沿途接轨的各车站相同。
双线铁路复线与单线并列这两种形式的区别是什么？,双线铁路有复线与单线并列两种形式，差别在于列车行驶的安排，复线的情况列车在各别行车线只会向固定方向行驶，而单线并列则是各别行车线都可以双向运行。
美国在台协会商务组是什么？,是美国商务服务局在台湾推广贸易的单位，隶属美国商业部
美国商务服务局的宗旨是什么？,美国商务服务局的宗旨是推广美国产品与服务的出口，尤其是促进中小企业的外销，维护美商在海外市场的商业利益，以及协助美商寻找理想的国际贸易伙伴等。
美国在台协会商务组的服务内容包括哪些？,包括帮助美国出口商安排与当地商业伙伴与主管机关的会议，提供台湾市场的产业调查报告，并建立线上美国供应厂商名单供台湾进口商洽询。
美国在台协会商务组的台北办事处有几位商务官？,四位
美国商务服务局的核心优势是什么？,美国商务服务局的核心优势为拥有庞大的国际贸易人才网络
四川博物院位于什么地区？,中国四川省成都市城西青羊区，浣花溪公园旁
四川博物院的地位？,是中国西南地区规模最大的综合性博物馆，藏品数量在中国大陆各类博物馆中位居第六
四川博物院被核定为第二批国家一级博物馆的时间是什么时候？,2012年
四川博物院藏品可以分为哪些类？,四川博物院藏品分为陶瓷类、砖石类、金属类、钱币类、书画类、民族民俗类、碑帖类、近现代史类八大类三十余小类文物
四川博物馆能为博物馆学术研究与文化交流提供哪些平台？,博物院设有现代化的对外文化交流中心和多功能学术报告厅
武昌爆发骚动的原因是？,陛下驱率狼虎，飞而食人，使天下之人，剥肤而吸髓，重足而累息，以致天灾地坼，山崩川竭。衅自上开，愤由怨积，奈何欲涂民耳目，以自解释，谩曰权宜哉！
田大益是怎么劝谏皇上的？,夫天下至贵，而金玉珠宝至贱也。积金玉珠宝若泰山，不可市天下尺寸地；而失天下，又何用金玉珠宝为哉！
田大益所提出的意见是？,今四方万姓，见陛下遇楚事而无变志，知祸必不解，必且群起为变。此时即尽戮诸珰以谢天下，宁有济耶？
为什么皇帝原先不愿意听取意见？,概时帝倦勤，上章着虽千万言，大率屏置勿阅故也。
滩簧可以怎么分类？,依时间为序，可分为前滩和后滩。
滩簧最初的演唱形式是什么？,最初采坐唱形式，即许多艺人围坐在舞台周围，以各自乐器演绎各自角色。
滩簧在江南地区的影响？,滩簧在江南地区影响巨大，沪剧、锡剧、甬剧、越剧、评弹、姚剧、苏剧、海门山歌等皆由其影响发展而来。
滩簧的发展现状？,滩簧（即苏州滩簧）在文化大革命中遭遇严重摧残，现已失传，只在滑稽戏、苏剧中有零星保留。
向象贤的家庭背景如何？,他是琉球第二尚氏的王族，原姓「吴」（），名乘「重家」。
向象贤改革的内容？,此后，向象贤奉行「财政再建，政教分离」的政策，对琉球进行改革。他废止了国王对久高岛的祭祀和巡礼，销弱了琉球传统信仰的影响。同时他要求琉球官员们都要学习茶道、花道等日本诸艺。
向象贤改革的影响？,他的改革在一定程度上打击了宗教势力，增加了财政收入，但对杣山和田地过度的开发也为后来琉球的资源短缺埋下了伏笔。
中国学者陶元珍对于向象贤的评价是？,但是中华民国历史学家陶元珍认为向象贤在编撰《中山世鉴》中，「伪造出日人源为朝乃舜天王之父亲的谬说」、「实极可恨」；其改革最终导致琉球文化被日本逐渐同化，所以向象贤「是个琉奸」。
玩转姻玄路节目的播放时间及主持人是？,于2009年3月7日起在有线娱乐台逢星期六22:00-23:00播放，并于星期日在有线新知台21:00-22:00重播，每集大约60分钟（连广告），主持为麦玲玲、黄翠如、区焯文。
玩转姻玄路节目是如何匹配追求者与主角的？,由玄学家麦玲玲以面相、手相、身相、八字命理、姓名学等不同算命方式来预计三位追求者与其主角是否匹配。
对于这档节目所存在的争议是？,其节目是欢迎公众报名参与，但有指，主角与三位追求者为有线电视的媒子，为了做节目而邀请的。
玩转姻玄路是一档什么样的节目？,玩转姻玄路(Love Match Turnaround)，为香港有线电视的一个玄学爱情电视节目，
脱水机是一种什么样的机器？,脱水机是一种洗涤机械，一般用于衣物、纺织物品、农作物等物品洗涤之后的除水过程。
脱水机的工作原理是？,电动机通过皮带带动不锈钢内胆高速旋转。于是产生很大的离心力，水分因此通过内胆上的小孔被甩出去，被收集后统一排出。
构成脱水机的主要部件有？,脱水机的主要部件是不锈钢或塑胶内胆，内胆四周布有小孔，待脱水的衣物就放在内胆中。
正确使用脱水机和烘干机的做法是？,脱水机无法彻底干燥衣物，所以较节约时间和能源的做法是先对潮湿的衣物先进行脱水操作，脱完水后再进行烘干操作。
现有洗衣机最大容量是？,现有的工业洗衣机的最大容量可以达到300千克，而普通的家用洗衣机的容量最多也就在7千克左右。
工业洗衣机一般用途是？,工业洗衣机一般适用于各类服装水洗长，印染厂，医院，宾馆，化工厂，部队，矿山，消防等企事业单位。
工业洗衣机是怎么洗衣服的？,利用电动机的机械做功使滚筒旋转，衣物在滚筒中不断地被提升摔下，再提升再摔下，做重复运动，加上洗衣粉和水的共同作用使衣物洗涤干净。
工业洗衣机的优点？,衣物在洗涤过程中不缠绕、洗涤均匀、磨损小
使用工业洗衣机的最大问题是？,这便使得工业洗衣机的减震和固定成为了最主要问题。
熨平机是一种什么设备？,熨平机是洗涤机械的一种，属于洗衣房设备。
熨平机的构成部件？,其主要部件一般是两个辊（现代的熨平机可能含有三个辊），辊通过手摇或通过电力使之转动。
熨平机的用途是？,熨平机用于床单、桌布、布料等等的轧平过程。
熨平机的发明时间是？,熨平机发明于18世纪
电力熨平机的发明时间是？,20世纪40年代，电力熨平机被发明。
《花美男连锁恐怖事件》又被叫做什么？,《花美男连锁恐怖事件》（），亦称花美男连环恐怖袭击事件或简称花美男
《花美男连锁恐怖事件》的主演是？,出演电影的是Super Junior全员，但成员圭贤因2007年4月19日车祸受伤没有出演。
电影开始公映的时间是？,2007年7月26日电影公映，并发布原声带。
《花美男连锁恐怖事件》的制作公司是？,SM Pictures（SM Entertainment的子公司）制作的第一部电影 。
为什么叫做《花美男连锁恐怖事件》,2月14日，一位学校的花美男遭到不寻常的袭击后，同样的袭击每个月的同一天都会发生在不同高中。
《摩斯拉对哥斯拉》是哥斯拉系列电影的第几部？,第4部
《摩斯拉对哥斯拉》故事发生的起因是？,第八号台风侵袭日本，把刚完工的仓田滨开发区给冲垮，每朝报社记者酒井和纯子前去采访，可是每朝报社的组长突然接到在静之浦出现不明巨蛋的消息
《摩斯拉对哥斯拉》在日本的观影人数有多少？,日本观众人数达到720万人。
《摩斯拉对哥斯拉》电影中故事结尾是怎样的？,哥吉拉被双胞胎摩斯拉双面夹击，被摩斯拉吐出的丝紧紧捆绕，跌落海里，终于哥吉拉被摩斯拉隔代子孙给打败了。
迈克尔·路易斯·弗兰德利在哪所大学任教？,加拿大安大略省约克大学
迈克尔·路易斯·弗兰德利在学校任什么职务？,心理学教授，以及统计学顾问服务部（）的副协调员。
迈克尔·路易斯·弗兰德利近25年以来主要研究什么？,二十五年多以来，他一直在运用SAS软件，教授心理学方面关于多元数据分析与计算机方法的研究生课程。
迈克尔·路易斯·弗兰德利在1991年的研究兴趣有什么变化？,1991年，涉及的是统计学与数据可视化的历史；
迈克尔·路易斯·弗兰德利在2008年的研究兴趣有什么变化？,2008年，则涉及的是数据与信息可视化的图解方法。弗兰德利对不同种类的可视化术语进行过分析。
德班国际机场以前叫做什么？,路易博塔机场
德班国际机场位于那个城市？,南非德班
机场附近有哪两条公路？,N2公路和M4公路。
于1970年代和2007年，曾计划画把机场迁移到哪里？,德班以北30公里的香格里拉慈悲
德班国际机场最适合改造成什么？,鉴于德班的一般都是很丘陵地形，如此大和平板包裹是理想是发育未来工业，扩建港口，或两者兼施。
统计图形也可以称为？,统计图形，又称为统计图、统计学图形、图解方法、图解技术、图解分析方法或图解分析技术
统计学与数据分析过程可大致分为哪两个组成部分？,定量分析方法（Quantitative techniques）和图解分析方法（）。
定量分析方法是指？,定量分析方法是指那套产生数值型或表格型输出的统计学操作程序
图解分析方法的统计学工具有？,这些工具包括、直方图、、（）、箱形图、以及双标图。
图解式统计学方法具有哪四个方面的目标？,⑴ 探究数据集的内容；⑵ 用于发现数据之中的结构；⑶ 检查统计学模型之中的假设；⑷ 沟通传达分析结果。
马渡松子是什么人？,马渡松子（）日本歌手、作词家、作曲家。
马渡松子在哪里出生？,宫崎县都城市出生。
马渡松子的代表作有？,代表曲『幽游白书』的OP主题歌「微笑みの爆弾」，第一代ED「ホームワークが终わらない」，第二代ED「さよならbyebye」终代ED「デイドリームジェネレーション」等。
出道前马渡松子的工作是什么？,在出道前担任过美梦成真的支援乐手，是特殊的同时担任合唱和键盘两个工作的角色
现在马渡松子的工作状态是怎样的？,现在独立制作活动著。和同乡在福冈有活动的电台DJ首藤真吾有往来，曾出演首藤的节目。
滑行道是什么样的道路？,滑行道（taxiway），是机场内供飞机滑行的，连接跑道到停机坪、飞机库、航站楼等设施的道路。
滑行道是由什么材料制作的？,滑行道通常由表面坚硬的材料铺设成，例如沥青或水泥，但有些小型机场可能使用草坪或砂砾。
滑行道指示牌的作用是？,在飞机于滑行道滑行时，指引方向和提供注意资讯。
机场为什么会建设高速或快速脱离滑行道？,繁忙的机场通常会建设高速或快速脱离滑行道，使飞机以较高的速度脱离跑道。这样可使飞机更快离开跑道，让飞机以较小间隔起降。
红底白字的指示牌代表什么意思？,强制性指示标志为红底白字，表示前方为跑道入口或重要区域，车辆和飞机遇到此标志时必须停止，直到这塔台人员允许才能通过。
菲利普·克雷文的出生地是？,英国英格兰大曼彻斯特郡博尔顿
菲利普·克雷文是什么人？,退役轮椅篮球运动员，现任国际残疾人奥委会主席。
导致菲利普·克雷文残疾的原因是？,菲利普·克雷文于16岁时因攀爬意外致残，导致失去行走能力，
菲利普·克雷文投身轮椅篮球运动的原因是？,他称意外之前喜欢踢足球，脚法虽有欠灵活，但眼手协调能力比较突出，成为日后投身轮椅篮球运动的原因。
克雷文出任国际残疾人奥委会主席的时间是？,2001年
黑龙江省大兴安岭林业集团公司隶属于哪个机构？,中华人民共和国国家林业局。
黑龙江省大兴安岭林业集团公司成立于哪一年？,1996年3月，国务院正式批准大兴安岭林业管理局成立大兴安岭林业集团公司。
黑龙江省大兴安岭林业集团公司下辖几个林业局和林场？,龙江省大兴安岭林业集团公司辖10个林业局，61个林场。
加格达奇林业局（驻加格达奇区）下辖哪些林场？,古里林场、白桦林场、东风林场、翠峰林场、跃进林场、多布库尔林场、达金林场、大黑山林场、大子扬山林场、罕诺河林场。
哪个林业局下辖最多林场？,加格达奇林业局（驻加格达奇区）辖10个林场
《汉新月刊》创立时间是？,1991年九月
《汉新月刊》名称的含义是？,汉新月刊的《汉》有汉族，汉语的意思；《新》则是指新泽西州，在新泽西州发迹，针对当地华人的议题为主要诉求的杂志。
《汉新月刊》的创立人是？,李美伦(Meilun(Ivy) Lee)
创办《汉新月刊》的原因是什么？,创办人李美伦(Meilun(Ivy) Lee)因感慨新泽西华人之众，却没有一份属于自己的刊物，于是创办该月刊
《汉新月刊》的主要内容是？,"每月出版的内容包括:专题, 社区, 教育, 财经, 休闲, 美食, 专栏, 小说, 散文, 新诗, 工商。"
高桥宏原名叫做什么？,高桥裕幸
高桥宏什么时间开始活动的？,984年开始加入「POPSICLE」乐团开始活动。
高桥宏个人活动是什么时候开始的？,1993年开始个人活动生涯。
高桥宏后期活动以什么为重点？,活动重心转移为幕后作曲者。以后，主要作曲动画音乐，舞台音乐，电视广播音乐。
高桥宏什么时候逝世的？以及逝世的原因是？,2005年11月4日，由于腹膜后肿瘤并发的多重器官衰竭逝世，得年41岁。
长尾虎猫是什么动物？,"长尾虎猫（学名：""""）是原住在中美洲及南美洲的猫科，"
长尾虎猫的学名是？,学名以维德-新维德亲王（Prince Maximilian of Wied-Neuwied）来命名。
长尾虎猫喜欢栖息在什么样的环境下？,牠们是独居及夜间活动的，喜欢栖息在雨林的深处，包括在墨西哥至阿根廷的雨林。
长尾虎猫的体型是什么样的？,长尾虎猫重约3－9公斤，体长45－80厘米，尾巴长33－51厘米。牠们很像较大型的虎猫，但头部较短，尾巴及四肢较长，尾巴上的斑点也不同。
长尾虎猫的一般以什么为食？,牠们主要吃细小的哺乳动物、鸟类、蛋、蜥蜴及树蛙。牠们也可能会吃草及其他植物，来帮助消化。
乔氏猫是如何被命名的？,乔氏猫是以19世纪法国动物学家艾蒂安·若弗鲁瓦·圣伊莱尔（Étienne Geoffroy Saint-Hilaire）来命名的。
乔氏猫的主要栖息地在哪？,乔氏猫分布在安地斯山脉、潘帕斯平原及大厦谷。
乔氏猫的体型有多大？,乔氏猫约长60厘米，高31厘米，大小如家猫，重2-4公斤，个别可以重达8公斤。
乔氏猫的颜色是什么样的？,牠们有黑色的斑点，毛色则会按地区而有所分别：在北部，一般都是呈黄褐色；在南部，一般都是呈灰色。
乔氏猫主要以什么为食？,乔氏猫主要猎食啮齿目、细小的蜥蜴、昆虫，且有时吃青蛙及鱼类。
《星战》是哪位歌手的专辑？,《星战》是香港歌手古巨基的录音室专辑
《星战》是在哪年由哪个公司发布的？,2005年10月20日由金牌娱乐发行。
这张专辑共收录了多少歌？,这张专辑共收录十一首新歌
